dates;D12;E12;b/m;tbl;AAA;BAA;lty;ntis;Rfree;ltr;corpr;svar;csp;D/P;D/Y;E/P;E/P 10y;D/E payout;tms;dfy;RPI;W875RX1;DPCERA3M086SBEA;CMRMTSPLx;RETAILx;INDPRO;IPFPNSS;IPFINAL;IPCONGD;IPDCONGD;IPNCONGD;IPBUSEQ;IPMAT;IPDMAT;IPNMAT;IPMANSICS;IPB51222S;IPFUELS;CUMFNS;HWI;HWIURATIO;CLF16OV;CE16OV;UNRATE;UEMPMEAN;UEMPLT5;UEMP5TO14;UEMP15OV;UEMP15T26;UEMP27OV;CLAIMSx;PAYEMS;USGOOD;CES1021000001;USCONS;MANEMP;DMANEMP;NDMANEMP;SRVPRD;USTPU;USWTRADE;USTRADE;USFIRE;USGOVT;CES0600000007;AWOTMAN;AWHMAN;HOUST;HOUSTNE;HOUSTMW;HOUSTS;HOUSTW;PERMIT;PERMITNE;PERMITMW;PERMITS;PERMITW;ACOGNO;AMDMNOx;ANDENOx;AMDMUOx;BUSINVx;ISRATIOx;M1SL;M2SL;M2REAL;BOGMBASE;TOTRESNS;NONBORRES;BUSLOANS;REALLN;NONREVSL;CONSPI;S&P 500;S&P: indust;S&P div yield;S&P PE ratio;FEDFUNDS;CP3Mx;TB3MS;TB6MS;GS1;GS5;GS10;AAA;BAA;COMPAPFFx;TB3SMFFM;TB6SMFFM;T1YFFM;T5YFFM;T10YFFM;AAAFFM;BAAFFM;TWEXAFEGSMTHx;EXSZUSx;EXJPUSx;EXUSUKx;EXCAUSx;WPSFD49207;WPSFD49502;WPSID61;WPSID62;OILPRICEx;PPICMM;CPIAUCSL;CPIAPPSL;CPITRNSL;CPIMEDSL;CUSR0000SAC;CUSR0000SAD;CUSR0000SAS;CPIULFSL;CUSR0000SA0L2;CUSR0000SA0L5;PCEPI;DDURRG3M086SBEA;DNDGRG3M086SBEA;DSERRG3M086SBEA;CES0600000008;CES2000000008;CES3000000008;UMCSENTx;MZMSL;DTCOLNVHFNM;DTCTHFNM;INVEST;VXOCLSx;Canada: S&P/TSX Composite Index, Close Price (AVG, 1975=1000);Canada: MSCI Share Price Index ex Div, US$ (NSA, EOP, Dec-69=100);Canada: TSX Group Market Capitalization (EOP, Mil.C$);EU 27: MSCI Share Price Index ex Div, LocCur (NSA, EOP, Dec-87=100);France: Paris Stock Market: Price Index: CAC 40 (AVG, Dec-31-87=1000);Germany: Stock Market Indexes: DAX Performance Index (AVG, Dec-30-87=1000);Germany: Deutsche Boerse Market Capitalization (EOP, Mil.Euros);Italy: Stock Price Index: FTSE MIB (AVG, Dec-31-97=24401.54);Italy: Borsa Italiana Market Capitalization (EOP, Mil.EUR);Japan: Nikkei Stock Average: TSE 225 Issues (AVG, May-16-49=100);Japan: 1st Tokyo Stock Exchange: Market Capitalization (EOP, Bil.Yen);U.K.: London Stock Exchange: FTSE 100 (EOP, Jan-2-84=1000);UK: London Stock Exchange Market Capitalization (EOP, Mil.EUR);CRSP_SPvw
31/01/70;NaN;NaN;0.7003467462;NaN;NaN;NaN;NaN;0.0344732080;NaN;-0.0021;0.0141;0.0010670899;0.0009076075;-0.98868;NaN;-0.39458589920995;NaN;-0.594090260514256;0.0627416666666667;0.0095;0.175074896;0.167944058;0.595014467;-1.268391158;0.305996779;-1.869071123;-1.554133431;-1.554254701;-1.691345436;-5.392314952;-0.203294871;-1.403520959;-2.324751655;-4.027530943;-0.756635838;-2.208521886;0.983627761;1.065237007;-2.1235;-153;-0.171346637;0.436417673;0.050787203;0.4;-0.1;12.72022576;5.508000024;4.266049714;2.46058108;8.004270767;11.68978001;-0.091281244;-0.692833291;-0.770053777;-2.513106856;-0.330542987;-0.648631711;0.166666705;0.192134925;0.135072711;0.204151143;0.008078741;0.373724741;0.152164367;40;-0.1;40.4;6.989335266;4.983606622;5.480638923;6.165417854;5.407171771;6.967909202;5.010635294;5.375278408;6.008813185;5.666426688;NaN;-4.015398948;12.03191949;-0.61827803;0.088310586;0.020662252;0.97445011;-0.137401568;-0.237552678;-2.015622552;1.707707588;2.083540281;-1.61575863;0.522527694;0.08927025;-0.000131392;-0.881937146;-1.100561384;0.034411117;-0.679471089;0.01;-0.06;0.05;-0.12;-0.07;0.21;0.14;0.19;0.21;-0.2;-1.11;-1.2;-0.88;-0.81;-1.19;-1.07;-0.12;NaN;0.115947419;0.017888318;0.129228607;-0.121082304;0.255421237;0.51413995;0.572236965;0.284495213;0;1.495581475;-0.002814384;0.171671822;0.54489412;0.304402798;-0.002402951;-0.000543359;0.292732181;-0.002814384;-0.510849371;-0.002770121;-0.094529304;-0.006433994;-0.192629321;-0.066821843;-0.881922958;-0.67631988;-0.001007816;NaN;0.191917297;-1.070737759;-1.821863299;-1.823535554;16.2759;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0.075398
28/02/70;0.1055;-0.8764;0.6701475070;0.0005;0.0002;-0.0008;-0.0042;0.0358552170;-0.000617;0.0587;0.0401;0.0010587136;0.0003789185;-1.03897;-0.987620867;-0.45470229955370;NaN;-0.584270670163650;0.0591583333333333;0.0085;0.247721762;0.175639399;0.437684562;0.08884201;0.465422043;-0.066049355;0.268599948;0.515659911;0.982295573;1.447684086;0.792006624;0.423314602;-0.563754717;-1.538892869;0.320776865;0.078011344;-0.590548168;-0.154127939;-0.1961;-36;-0.088968722;0.207150416;-0.10414154;0.3;0.1;8.004270767;11.6233664;8.66246046;7.038079676;11.85597347;4.550735732;0.181076825;0.092362507;-0.230528671;2.405144632;-0.342531258;-0.428801801;-0.208376821;0.22266214;0.149078933;0.103395823;0.21653618;0.343741387;0.175901541;40;-0.1;40.2;7.17395832;5.459585514;5.442417711;6.274762021;5.730099783;7.019296654;5.257495372;5.480638923;5.993961427;5.65248918;NaN;-0.649955875;-6.316966012;-0.728796022;0.575051502;0;-1.705348645;-0.850021237;-1.092271321;-1.069045965;-6.141663738;-7.378708593;-0.286682134;-0.327578036;-0.226583886;-0.000620685;-3.550268619;-3.76203847;0.130422788;-3.511768323;0;-0.23;-0.74;-0.56;-0.51;-0.35;-0.55;0.02;-0.08;-0.43;-1.85;-1.76;-1.39;-1.16;-1.74;-1.05;-0.2;NaN;-0.348246353;-0.007154943;0.178976552;0.018637592;-0.768903723;-0.770879501;-0.860837454;0.284495213;0;-4.50949051;-0.002784759;0.169905531;-0.826060692;-0.003718094;-0.002379564;0.23120898;-0.301564153;-0.002784759;0.251566018;-0.00274119;0.032655289;0.170313654;0.025232795;0.01743573;1.172168923;-0.223424707;-0.001001447;NaN;-1.651119284;0.342667802;0.466527926;-0.24503759;17.6779;NaN;4.102746292;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0.052014264;3.491356322;NaN;NaN;0.059521
31/03/70;0.1051;-0.8842;0.6903267691;-0.0074;-0.0009;-0.0015;0.0010;0.0358415812;-0.000417;-0.0068;-0.0045;0.0009635634;-0.0004314362;-1.03937;-1.037921944;-0.46499555022363;NaN;-0.574377854262410;0.0605750000000000;0.0079;0.38193037;0.376848194;-0.509619248;-1.175413706;-0.939621893;-0.129921899;-0.053612418;-0.266622388;-0.119895248;0.945511043;-0.550068012;0.201392464;-0.235050117;-0.041653453;-1.154353529;-0.286065212;0.20481542;1.413032127;-0.4923;-184;-0.100049754;0.421503336;0.209442769;0.2;0.3;1.425686062;7.798539615;12.76631443;13.312678;11.70926663;3.702368756;0.204544889;-0.039573486;-0.148478127;-0.162162198;-0.005446475;0.169953974;-0.278512922;0.318697518;0.191346928;0.103289027;0.317901316;0.428021769;0.676727235;39.9;-0.1;40.1;7.184629153;5.521460918;5.634789603;6.253828812;5.598421959;7.031741259;5.176149733;5.552959585;6.01615716;5.659482216;NaN;-2.433439505;-10.47736857;-0.991214815;0.414562799;0.020662251;0.924540996;0.731689546;-0.351539975;1.583161426;1.908253192;3.028007284;0.300874776;-0.174290435;-0.237814466;-0.000944239;1.695052244;1.266365273;-0.057308761;1.833168868;-1.22;-0.22;-0.5;-0.64;-0.62;-0.61;-0.17;-0.09;-0.15;0.57;-1.13;-1.18;-0.79;-0.55;-0.69;0.08;0.87;NaN;0.236939413;-0.046519613;0.045733293;-0.037278658;0.512164172;0.513479101;-0.286123228;0.845460312;0;2.689090074;-0.002755599;-0.51413995;-0.545702931;-0.003673162;-0.486618965;-0.23282398;0.579631764;-0.002755599;-0.253479119;-0.00271271;-0.141731175;0.012610369;-0.458412195;0.023580883;-0.297085969;0.43380685;0.312976862;NaN;0.767395541;0.243122646;-0.271828213;2.8575746;17.4539;NaN;0.775571179;NaN;NaN;NaN;NaN;NaN;NaN;NaN;5.830914712;4.877205949;NaN;NaN;0.002806
30/04/70;0.1050;-0.6535;0.7367505808;-0.0050;-0.0001;0.0007;0.0038;0.0357121248;-0.000100;-0.0413;-0.0250;0.0016146903;0.0004939943;-0.94348;-1.038323483;-0.37668847949721;NaN;-0.566793306708772;0.0644750000000000;0.0087;0.994518926;-0.592448698;0.075530063;-0.506701473;1.178047725;-0.25726624;0.033916312;-0.02529312;0.404307238;-0.046121345;0.57871363;-0.045819867;-0.694046684;-1.878119603;0.732636192;-0.356808458;1.130070964;-0.70311934;-0.5456;-91;-0.061819238;0.277197938;0.084921389;0.2;-0.1;7.82521969;-2.411907895;11.98616063;12.49964902;10.97706661;19.26747359;-0.144258738;-0.82137799;-0.463346849;-0.760253458;-0.836824967;-1.132494577;-0.377227133;0.170240737;-0.162976121;0.020645009;-0.242694157;0.199118257;0.806073592;39.7;-0.1;39.8;7.142036575;5.351858133;5.579729826;6.278521424;5.545177444;7.109879463;5.198497031;5.459585514;6.144185634;5.834810737;NaN;-2.163470082;-5.867797604;-1.252996897;0.789325043;0.020662252;0.144085251;0.016706764;-0.333148559;1.291471166;3.596480344;3.258351652;0.51757718;-0.085186715;-0.011228348;-0.00222116;-3.093030069;-3.07942221;0.11620503;-3.138404457;0.34;-0.27;-0.12;0.02;0.09;0.29;0.32;-0.01;0.07;-0.04;-1.59;-1.5;-1.04;-0.6;-0.71;-0.27;0.6;NaN;-0.181138435;0.132401013;0.012469087;0.009320968;-0.256082086;-0.256739551;0.857553354;-1.411249663;0;1.432464414;-0.002726895;0.34129726;1.629724386;0.295324845;0.484262448;0.229616333;-0.589892208;0.256676623;0.249681723;-0.002684672;0.249969775;-0.073894229;0.697516241;0.029595284;-0.003360695;0.422546467;-0.628932891;NaN;0.106014101;1.155765261;0.762551337;0.395842384;18.3914;NaN;-12.40442086;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0.186356262;-14.63800839;NaN;NaN;-0.088831
31/05/70;0.1052;-0.6576;0.7742276283;-0.0012;0.0028;0.0028;0.0044;0.0386610283;0.000275;-0.0468;-0.0163;0.0081518713;-0.0002376260;-0.87953;-0.942429818;-0.32036002113521;NaN;-0.559165529659043;0.0686000000000000;0.0087;-0.575444092;0.212941601;0.684357461;1.080290946;1.418739193;-0.116783978;0.030165875;0.053707654;0.541294674;0.098663832;0.711980975;-0.101621617;-0.331756703;-0.567957948;-0.537360431;-0.23379699;1.725385106;-1.312013945;-0.4424;-194;-0.07519709;-0.29538185;-0.464780447;0.2;0.4;-1.41245286;11.51676031;-1.84414279;-10.53605157;13.41500131;-4.673232908;-0.31444801;-0.962402723;-0.18261813;-0.95851754;-0.982456296;-1.081484617;-0.829297043;-0.016396131;0.049629552;0.067803608;0.080516383;0.170357792;-0.29164881;39.6;0;39.8;7.162397497;5.231108617;5.552959585;6.350885717;5.605802066;7.19142933;5.298317367;5.556828062;6.269096284;5.831882477;NaN;3.124330922;4.789256645;-1.048051163;-0.028909242;-0.020662252;-0.243362633;0.338346849;0.267912729;-0.879067866;-3.06053947;-3.821040525;0.066750533;-0.105863276;0.068846116;0.000434965;-12.22432293;-12.26346966;0.484466532;-11.66613108;-0.16;0.17;0.33;0.42;0.69;0.47;0.52;0.28;0.28;0.29;-1.1;-0.92;-0.19;0.03;-0.03;0.17;1.04;NaN;0.19273869;0.229455848;-0.099796258;0.009320099;0;-0.256739551;-0.286934913;-1.137169362;0;-4.46181241;-0.261430993;-0.171084453;-1.087693754;-0.304316438;-0.243007807;0.22645762;-0.003341297;-0.521505672;-0.251566162;-0.259396616;-0.184663955;0.083101343;-0.461442422;-0.059361332;-0.290266309;-1.726022654;0.936044276;NaN;0.282580648;-0.360361217;-0.16088836;-1.934757886;37.6526;NaN;-10.28246807;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-17.81939163;-1.173458197;NaN;NaN;-0.054689
30/06/70;0.1048;-0.6621;0.7933814171;0.0033;0.0037;0.0027;-0.0034;0.0422907479;-0.000133;0.0486;0.0001;0.0026519086;-0.0002522946;-0.82715;-0.878477832;-0.27565349658617;NaN;-0.551496663496918;0.0653333333333333;0.0077;0.312340003;0.323865428;0.338651068;0.399714572;0.63480061;-0.32379758;-0.234586063;-0.213175468;0.250109179;1.92126959;-0.422615291;-0.608789187;-0.451106961;-0.10873418;-0.728881938;-0.301876173;-1.420229821;0.655982278;-0.4936;-57;-0.042011567;0.001212364;-0.192384931;0.1;0;-0.427655677;3.872471215;10.58680011;18.46336966;-3.077165867;-4.581456987;-0.133658824;-0.426229418;0.513799092;0.055020634;-0.550628494;-0.927165039;0.028224669;0;0.077939565;-0.120899388;0.006706773;0.085070188;-0.007894217;39.6;-0.1;39.8;7.233455419;5.241747015;5.720311777;6.376726948;5.713732806;7.18690102;5.379897354;5.697093487;6.202535517;5.746203191;NaN;1.883756127;-5.413311459;-0.629550831;0.628334669;0;-0.048740279;0.098110541;0.10435691;-0.137294309;-0.247016664;0.50553804;0.457574611;-0.241435505;0.364318798;-0.000233561;-0.61985032;-0.240789907;0.030373989;-0.254255609;-0.34;-0.02;-0.16;-0.16;-0.2;-0.12;-0.07;0.37;0.27;0.61;-0.92;-0.74;-0.05;0.25;0.24;0.88;1.65;NaN;0.120562951;-0.007188654;-0.249927235;-3.24885324;0.255427981;0.513479101;-0.00080708;1.418463499;0;-0.569815778;0.257393498;0.169346093;0.267015148;-0.00352215;-0.000580637;-0.231706275;-0.003303001;0.256732702;-0.000621889;0.255421237;-0.058413569;-0.046580709;-0.124761819;-0.020797984;0.570604386;1.714922438;-0.316847251;NaN;0.327742368;0.465830497;0.758026152;0.429052557;23.776;NaN;4.608942178;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2.151436826;2.082473662;NaN;NaN;-0.049032
31/07/70;0.1047;-0.9708;0.7387075682;-0.0016;-0.0004;0.0015;-0.0022;0.0430738217;-0.000192;0.0319;0.0556;0.0021264992;0.0003278095;-0.89684;-0.826103538;-0.35609489804944;NaN;-0.540741837214392;0.0633250000000000;0.0096;0.555708443;0.526031797;-0.024914135;0.106661506;0.833842089;0.245007137;0.087160557;-0.10662765;0.239599798;0.178491034;0.265076809;-0.260440397;0.501104572;0.121347457;1.789120646;0.310156626;1.619938495;-1.708683465;-0.0023;-99;-0.041353461;0.504278966;0.398373941;0.1;0.3;1.512316157;2.978456136;0.758153745;-1.161453242;4.36750635;-3.430868228;0.033783309;-0.207039411;-0.033068783;0.247218915;-0.296031718;-0.62910745;0.211431469;0.143375073;0.261715446;0.520888157;0.123324412;0.169923575;0.236555859;39.7;0.1;40;7.324489979;5.484796933;5.758901774;6.455198563;5.780743516;7.188412736;5.420534999;5.733341277;6.173786104;5.733341277;NaN;-1.159194027;8.104656508;-0.867811567;0.732855704;0;-0.00037125;0.029524547;0.396864644;1.042068053;3.218723523;1.229611965;0.010026115;0.466370074;0.013861359;-0.000723338;0.171832704;0.048204388;-0.002824851;0.602463631;-0.39;0.08;-0.23;-0.35;-0.45;-0.26;-0.38;-0.04;0.15;1.08;-0.76;-0.7;-0.11;0.38;0.25;1.23;2.19;NaN;-0.273794779;0.13646831;-0.296556406;-0.618060876;-0.255427981;-0.256739551;0.281285121;0.285306898;-1.201215645;-0.022530689;-0.259396616;-0.170210849;-0.002859717;-0.003480713;-0.000577849;-0.2285668;-0.003265359;-0.002643422;0.247212803;-0.257393656;0.109057158;0.175143179;0.243731723;-0.014273521;-0.290191022;-0.016298295;-0.311030371;NaN;0.174020423;-3.447940481;-1.827709655;0.935810417;21.3723;NaN;6.638408361;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.962617028;2.403120978;NaN;NaN;0.075523
31/08/70;0.1049;-0.9805;0.7092782966;-0.0023;-0.0031;0.0004;0.0007;0.0387292526;-0.000033;-0.0019;0.0100;0.0018871239;0.0015175963;-0.93929;-0.89578807;-0.40939886561874;NaN;-0.529887945881928;0.0640583333333333;0.0131;0.254703586;0.194906164;0.419153782;-0.046256197;-0.031698727;-0.17840896;-1.07544785;-1.204550184;-1.716322526;-3.093059286;-1.159933969;-0.274915554;1.202490031;1.79847215;-1.553321369;-0.682118228;0.793608031;1.645184142;-0.7907;-29;-0.019504918;-0.025334628;-0.129647301;0.1;-0.1;2.318138111;1.419523276;6.293224688;5.897400246;7.013182377;-0.384683111;-0.163391825;-0.406321101;0.856254202;0.109679199;-0.54969849;-0.521076828;-0.593138302;-0.053229605;-0.070666387;-0.37936201;-0.032156926;0.113122184;0.110201522;39.6;-0.1;39.8;7.243512975;5.214935758;5.627621114;6.432940093;5.749392986;7.239932591;5.398162702;5.739792912;6.240275845;5.855071922;NaN;-0.637336966;-1.011198005;-0.987446794;0.602856865;0.010331126;0.716821872;0.310358045;0.705253481;-1.027101627;-1.286240086;2.410313202;0.014628384;0.00915771;-0.256517222;-0.00050297;2.864033299;2.8505493;-0.114411933;3.911107432;-0.6;-0.39;-0.04;0.04;-0.12;-0.02;0.07;-0.31;0.04;1.29;-0.2;-0.06;0.37;0.96;0.92;1.52;2.83;NaN;-0.053454188;-0.319339675;-0.121382096;-1.041929675;0;0;-0.564973254;-1.43145125;1.201215645;-0.216833554;-0.000660849;0.168490109;-0.799646339;-0.003440002;-0.000575081;0.225474606;-0.003228358;-0.257393656;-0.496278934;-0.000650773;-0.105915634;-0.024691624;-0.248529122;-0.020357778;0.278084045;0.191363989;-0.00094675;NaN;0.410234856;4.670600581;1.903475876;1.30492124;21.3772;NaN;4.163708464;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1.226314597;-1.054275276;NaN;NaN;0.049778
30/09/70;0.1044;-0.9900;0.7129147605;-0.0004;-0.0004;-0.0005;-0.0014;0.0379424193;-0.000242;0.0228;0.0139;0.0010579859;0.0008756970;-0.97071;-0.938242379;-0.45176461096514;NaN;-0.518943058285958;0.0629000000000000;0.0130;-0.068821001;-0.276669083;0.495033011;-0.173801639;0.310215159;-0.691628544;-0.684903835;-0.964523551;-0.380994124;-2.698753621;0.530827188;-2.157736917;-0.692197965;-2.191686438;1.074201876;-0.845299889;1.019781717;2.087984982;-0.91;-27;-0.03511317;0.089245878;-0.160384958;0.3;0.1;2.399934065;7.156128147;11.1300287;11.04138055;11.29017302;10.973077;0.009867424;-0.530697728;0.163827035;-0.853177048;-0.490542553;-0.580091447;-0.354736094;0.253609986;0.049471714;0.079520525;0.25028287;0.282246871;0.235737969;39.3;-0.2;39.6;7.335633982;5.433722004;5.613128106;6.502790046;5.897153868;7.262628601;5.33753808;5.659482216;6.308098442;5.945420609;NaN;0.406047792;-2.650615202;-0.714142006;0.350937111;0.010331126;-0.008194078;0.072645672;0.527298502;0.24059927;0.659233686;-0.413832338;0.107401086;0.083503575;0.248727001;5.48E-05;5.808486112;5.977014472;-0.226748087;6.408827328;-0.32;-0.58;-0.29;-0.09;-0.25;-0.28;-0.14;-0.04;-0.05;1.03;-0.17;0.17;0.44;1;1.1;1.8;3.1;NaN;0.120812245;-0.071599695;-0.10056569;-0.549667658;1.015237146;1.020417017;0.281294138;3.425445305;0;0.755432183;0.254770516;0.166788648;0.79822789;-0.003400002;0.237806803;-0.002038248;-0.003191982;0.25347897;0.493828164;0.252838095;0.184128161;0.079990273;0.379335993;0.079445438;-0.286041837;-1.667133902;0.608817036;NaN;0.12319477;-1.067787725;-0.520702443;-0.441364845;17.5699;NaN;6.058806795;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-1.548834681;-2.611885001;NaN;NaN;0.034702
31/10/70;-0.5239;-1.4407;0.7176982835;-0.0029;-0.0006;-0.0006;0.0013;0.0369624911;-0.000175;-0.0109;-0.0096;0.0010434122;0.0006240190;-0.96448;-0.975947076;-0.45470645512635;NaN;-0.509775071025710;0.0643750000000000;0.0130;-0.347085444;-0.568912533;-0.608528324;-1.045856407;0.821521437;-2.020769197;-1.583115439;-1.85527874;-1.237937733;-6.172608047;0.603133473;-3.326496057;-2.674992304;-5.764553913;0.381509794;-2.260076075;1.647851146;-1.023458597;-1.9854;-190;-0.059387523;0.387415512;0.23793933;0.1;-0.2;6.537709561;1.507910683;-2.180971629;0.981362145;-8.152660763;4.632019547;-0.598029563;-2.351425492;0.08181298;0.220872536;-2.9774177;-4.66764196;-0.470186803;0.179591885;0.049447251;0;0.224320124;0.22522532;0.407300634;39.2;0;39.5;7.365180126;5.488937726;5.771441123;6.463029457;5.932245187;7.355001921;5.517452896;5.774551546;6.343880434;6.049733455;NaN;-8.196212895;-4.210596649;-1.38900047;0.146801479;0.010331126;-0.383106761;-0.188921715;0.339341492;-0.573601508;-1.960474027;-2.400245684;-0.682795804;0.07643589;-0.325063175;-8.38E-05;2.144436772;2.386904229;-0.101714214;2.878499591;-0.09;-0.47;-0.21;-0.25;-0.3;-0.17;-0.06;-0.06;-0.06;0.65;-0.29;0.01;0.23;0.92;1.13;1.83;3.13;NaN;0.558020365;-0.046522591;0.088000509;0.549667658;-1.015237146;-1.27454676;0.278931417;-2.279300953;0;-0.405614685;-0.002603116;-0.169618118;0.52350262;-0.291961184;-0.002267599;0.221443813;-0.003156217;0.249630188;-0.002426684;-0.002563725;0.049853657;0.30261009;-0.054748524;0.041215355;-0.839946017;1.033704945;-1.83207388;NaN;-0.219924981;-0.707798809;-0.211084687;0.333719766;17.557;NaN;-1.669424332;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0.893284529;2.208821684;NaN;NaN;-0.009032
